"","SYMBOL","ENSEMBL","AD_related"
"1","APOE","ENSG00000130203",TRUE
"2","ADAM10","ENSG00000137845",TRUE
"3","APH1B","ENSG00000138613",TRUE
"4","APP","ENSG00000142192",TRUE
"5","MME","ENSG00000196549",TRUE
"6","FAS","ENSG00000026103",TRUE
"7","EIF2AK2","ENSG00000055332",TRUE
"8","LRP6","ENSG00000070018",TRUE
"9","LRP6","ENSG00000281324",TRUE
"10","PTGS2","ENSG00000073756",TRUE
"11","NOS1","ENSG00000089250",TRUE
"12","XBP1","ENSG00000100219",TRUE
"13","GAPDH","ENSG00000111640",TRUE
"14","IL1A","ENSG00000115008",TRUE
"15","LRP1","ENSG00000123384",TRUE
"16","IL1B","ENSG00000125538",TRUE
"17","KLC1","ENSG00000126214",TRUE
"18","TRAF2","ENSG00000127191",TRUE
"19","PIK3R1","ENSG00000145675",TRUE
"20","CDK5","ENSG00000164885",TRUE
"21","IRS1","ENSG00000169047",TRUE
"22","LPL","ENSG00000175445",TRUE
"23","CDK5R1","ENSG00000176749",TRUE
"36","INS","ENSG00000254647",TRUE
"37","GRIN2B","ENSG00000273079",TRUE
"38","PSEN1","ENSG00000080815",TRUE
"39","GSK3B","ENSG00000082701",TRUE
"40","APH1A","ENSG00000117362",TRUE
"41","IDE","ENSG00000119912",TRUE
"42","IL6","ENSG00000136244",TRUE
"43","SNCA","ENSG00000145335",TRUE
"44","NCSTN","ENSG00000162736",TRUE
"45","APBB1","ENSG00000166313",TRUE
"46","CHRNA7","ENSG00000175344",TRUE
"47","CHRNA7","ENSG00000274542",TRUE
"48","CHRNA7","ENSG00000282088",TRUE
"49","BACE2","ENSG00000182240",TRUE
"50","BACE1","ENSG00000186318",TRUE
"51","MAPT","ENSG00000186868",TRUE
"52","MAPT","ENSG00000276155",TRUE
"53","MAPT","ENSG00000277956",TRUE
"55","AGER","ENSG00000204305",TRUE
"56","AGER","ENSG00000230514",TRUE
"57","AGER","ENSG00000229058",TRUE
"58","AGER","ENSG00000231268",TRUE
"59","AGER","ENSG00000237405",TRUE
"60","AGER","ENSG00000206320",TRUE
"61","AGER","ENSG00000234729",TRUE
"62","PSENEN","ENSG00000205155",TRUE
"63","TNF","ENSG00000232810",TRUE
"64","TNF","ENSG00000228978",TRUE
"65","TNF","ENSG00000204490",TRUE
"66","TNF","ENSG00000223952",TRUE
"67","TNF","ENSG00000228849",TRUE
"68","TNF","ENSG00000228321",TRUE
"69","TNF","ENSG00000230108",TRUE
"70","TNF","ENSG00000206439",TRUE
"71","A2M","ENSG00000175899",TRUE
"72","ABCA2","ENSG00000107331",TRUE
"73","ABCG1","ENSG00000160179",TRUE
"74","DHCR24","ENSG00000116133",TRUE
"75","DYRK1A","ENSG00000157540",TRUE
"76","EPHA4","ENSG00000116106",TRUE
"77","FGF1","ENSG00000113578",TRUE
"78","HFE","ENSG00000010704",TRUE
"79","IGF1","ENSG00000017427",TRUE
"80","IL10","ENSG00000136634",TRUE
"81","LMNA","ENSG00000160789",TRUE
"82","LRRK2","ENSG00000188906",TRUE
"83","LRRTM3","ENSG00000198739",TRUE
"84","MPO","ENSG00000005381",TRUE
"85","NOS3","ENSG00000164867",TRUE
"86","NPC1","ENSG00000141458",TRUE
"87","NTRK2","ENSG00000148053",TRUE
"88","PIN1","ENSG00000127445",TRUE
"89","PLAU","ENSG00000122861",TRUE
"90","PRNP","ENSG00000171867",TRUE
"91","PSEN2","ENSG00000143801",TRUE
"92","PSEN2","ENSG00000288674",TRUE
"93","S100B","ENSG00000160307",TRUE
"94","SOAT1","ENSG00000057252",TRUE
"95","SP1","ENSG00000185591",TRUE
"96","TTBK1","ENSG00000146216",TRUE
"97","ABCA7","ENSG00000064687",TRUE
"98","ACE","ENSG00000159640",TRUE
"99","BIN1","ENSG00000136717",TRUE
"100","CLU","ENSG00000120885",TRUE
"101","PICALM","ENSG00000073921",TRUE
"102","SORL1","ENSG00000137642",TRUE
"103","ABCA1","ENSG00000165029",TRUE
"104","APOC1","ENSG00000130208",TRUE
"105","CASS4","ENSG00000087589",TRUE
"106","CD2AP","ENSG00000198087",TRUE
"107","CD33","ENSG00000105383",TRUE
"108","CELF1","ENSG00000149187",TRUE
"109","CR1","ENSG00000203710",TRUE
"110","EPHA1","ENSG00000146904",TRUE
"111","EPHA1","ENSG00000284816",TRUE
"112","FERMT2","ENSG00000073712",TRUE
"113","GRN","ENSG00000030582",TRUE
"114","HLA-DRB1","ENSG00000196126",TRUE
"115","HLA-DRB1","ENSG00000228080",TRUE
"116","HLA-DRB1","ENSG00000229074",TRUE
"117","HLA-DRB1","ENSG00000236884",TRUE
"118","HLA-DRB1","ENSG00000206306",TRUE
"119","HLA-DRB1","ENSG00000206240",TRUE
"120","INPP5D","ENSG00000168918",TRUE
"121","INPP5D","ENSG00000281614",TRUE
"122","MEF2C","ENSG00000081189",TRUE
"123","MS4A4A","ENSG00000110079",TRUE
"124","MS4A4E","ENSG00000214787",TRUE
"125","MS4A6A","ENSG00000110077",TRUE
"126","PTK2B","ENSG00000120899",TRUE
"128","SLC24A4","ENSG00000140090",TRUE
"129","SNX1","ENSG00000028528",TRUE
"130","TREM2","ENSG00000095970",TRUE
"131","TREML2","ENSG00000112195",TRUE
"132","ZCWPW1","ENSG00000078487",TRUE
"133","AASDH","ENSG00000157426",TRUE
"134","ABCC2","ENSG00000023839",TRUE
"135","ABCG2","ENSG00000118777",TRUE
"136","ACAN","ENSG00000157766",TRUE
"137","ADAM12","ENSG00000148848",TRUE
"138","ADRA2B","ENSG00000274286",TRUE
"139","ADRB1","ENSG00000043591",TRUE
"140","ADRB2","ENSG00000169252",TRUE
"141","ADRB3","ENSG00000188778",TRUE
"142","AHSG","ENSG00000145192",TRUE
"143","ALDH2","ENSG00000111275",TRUE
"144","ALOX5","ENSG00000012779",TRUE
"145","ALOX5","ENSG00000275565",TRUE
"146","ANK2","ENSG00000145362",TRUE
"147","APBB2","ENSG00000163697",TRUE
"148","APBB3","ENSG00000113108",TRUE
"149","APOA1","ENSG00000118137",TRUE
"150","APOA4","ENSG00000110244",TRUE
"151","APOC2","ENSG00000234906",TRUE
"152","APOC4","ENSG00000267467",TRUE
"153","APOD","ENSG00000189058",TRUE
"154","AR","ENSG00000169083",TRUE
"155","ARC","ENSG00000198576",TRUE
"156","ARMS2","ENSG00000254636",TRUE
"157","ARSB","ENSG00000113273",TRUE
