"interaction","name","selected","shared interaction","shared name"
"interacts with","ENSG00000261963 (interacts with) ENSG00000259956","false","interacts with","ENSG00000261963 (interacts with) ENSG00000259956"
"interacts with","ENSG00000261963 (interacts with) ENSG00000184792","false","interacts with","ENSG00000261963 (interacts with) ENSG00000184792"
"interacts with","ENSG00000112096 (interacts with) ENSG00000253738","false","interacts with","ENSG00000112096 (interacts with) ENSG00000253738"
"interacts with","ENSG00000112096 (interacts with) ENSG00000198791","false","interacts with","ENSG00000112096 (interacts with) ENSG00000198791"
"interacts with","ENSG00000112096 (interacts with) ENSG00000198648","false","interacts with","ENSG00000112096 (interacts with) ENSG00000198648"
"interacts with","ENSG00000112096 (interacts with) ENSG00000186432","false","interacts with","ENSG00000112096 (interacts with) ENSG00000186432"
"interacts with","ENSG00000112096 (interacts with) ENSG00000168283","false","interacts with","ENSG00000112096 (interacts with) ENSG00000168283"
"interacts with","ENSG00000112096 (interacts with) ENSG00000166181","false","interacts with","ENSG00000112096 (interacts with) ENSG00000166181"
"interacts with","ENSG00000112096 (interacts with) ENSG00000164031","false","interacts with","ENSG00000112096 (interacts with) ENSG00000164031"
"interacts with","ENSG00000112096 (interacts with) ENSG00000162368","false","interacts with","ENSG00000112096 (interacts with) ENSG00000162368"
"interacts with","ENSG00000112096 (interacts with) ENSG00000155099","false","interacts with","ENSG00000112096 (interacts with) ENSG00000155099"
"interacts with","ENSG00000112096 (interacts with) ENSG00000151292","false","interacts with","ENSG00000112096 (interacts with) ENSG00000151292"
"interacts with","ENSG00000112096 (interacts with) ENSG00000151247","false","interacts with","ENSG00000112096 (interacts with) ENSG00000151247"
"interacts with","ENSG00000112096 (interacts with) ENSG00000146872","false","interacts with","ENSG00000112096 (interacts with) ENSG00000146872"
"interacts with","ENSG00000112096 (interacts with) ENSG00000145388","false","interacts with","ENSG00000112096 (interacts with) ENSG00000145388"
"interacts with","ENSG00000112096 (interacts with) ENSG00000138382","false","interacts with","ENSG00000112096 (interacts with) ENSG00000138382"
"interacts with","ENSG00000112096 (interacts with) ENSG00000124164","false","interacts with","ENSG00000112096 (interacts with) ENSG00000124164"
"interacts with","ENSG00000112096 (interacts with) ENSG00000123684","false","interacts with","ENSG00000112096 (interacts with) ENSG00000123684"
"interacts with","ENSG00000112096 (interacts with) ENSG00000114120","false","interacts with","ENSG00000112096 (interacts with) ENSG00000114120"
"interacts with","ENSG00000112096 (interacts with) ENSG00000102738","false","interacts with","ENSG00000112096 (interacts with) ENSG00000102738"
"interacts with","ENSG00000112096 (interacts with) ENSG00000091039","false","interacts with","ENSG00000112096 (interacts with) ENSG00000091039"
"interacts with","ENSG00000112096 (interacts with) ENSG00000079950","false","interacts with","ENSG00000112096 (interacts with) ENSG00000079950"
"interacts with","ENSG00000112096 (interacts with) ENSG00000062194","false","interacts with","ENSG00000112096 (interacts with) ENSG00000062194"
"interacts with","ENSG00000261490 (interacts with) ENSG00000131236","false","interacts with","ENSG00000261490 (interacts with) ENSG00000131236"
"interacts with","ENSG00000288559 (interacts with) ENSG00000186480","false","interacts with","ENSG00000288559 (interacts with) ENSG00000186480"
"interacts with","ENSG00000288559 (interacts with) ENSG00000176871","false","interacts with","ENSG00000288559 (interacts with) ENSG00000176871"
"interacts with","ENSG00000288559 (interacts with) ENSG00000160752","false","interacts with","ENSG00000288559 (interacts with) ENSG00000160752"
"interacts with","ENSG00000288559 (interacts with) ENSG00000152684","false","interacts with","ENSG00000288559 (interacts with) ENSG00000152684"
"interacts with","ENSG00000288559 (interacts with) ENSG00000104549","false","interacts with","ENSG00000288559 (interacts with) ENSG00000104549"
"interacts with","ENSG00000288398 (interacts with) ENSG00000188483","false","interacts with","ENSG00000288398 (interacts with) ENSG00000188483"
"interacts with","ENSG00000288398 (interacts with) ENSG00000167645","false","interacts with","ENSG00000288398 (interacts with) ENSG00000167645"
"interacts with","ENSG00000288398 (interacts with) ENSG00000125534","false","interacts with","ENSG00000288398 (interacts with) ENSG00000125534"
"interacts with","ENSG00000288398 (interacts with) ENSG00000105409","false","interacts with","ENSG00000288398 (interacts with) ENSG00000105409"
"interacts with","ENSG00000288398 (interacts with) ENSG00000101294","false","interacts with","ENSG00000288398 (interacts with) ENSG00000101294"
"interacts with","ENSG00000288398 (interacts with) ENSG00000100092","false","interacts with","ENSG00000288398 (interacts with) ENSG00000100092"
"interacts with","ENSG00000288156 (interacts with) ENSG00000260081","false","interacts with","ENSG00000288156 (interacts with) ENSG00000260081"
"interacts with","ENSG00000288156 (interacts with) ENSG00000101294","false","interacts with","ENSG00000288156 (interacts with) ENSG00000101294"
"interacts with","ENSG00000288077 (interacts with) ENSG00000105197","false","interacts with","ENSG00000288077 (interacts with) ENSG00000105197"
"interacts with","ENSG00000288033 (interacts with) ENSG00000248487","false","interacts with","ENSG00000288033 (interacts with) ENSG00000248487"
"interacts with","ENSG00000288033 (interacts with) ENSG00000159692","false","interacts with","ENSG00000288033 (interacts with) ENSG00000159692"
"interacts with","ENSG00000288033 (interacts with) ENSG00000130731","false","interacts with","ENSG00000288033 (interacts with) ENSG00000130731"
"interacts with","ENSG00000288033 (interacts with) ENSG00000125971","false","interacts with","ENSG00000288033 (interacts with) ENSG00000125971"
"interacts with","ENSG00000288033 (interacts with) ENSG00000101460","false","interacts with","ENSG00000288033 (interacts with) ENSG00000101460"
"interacts with","ENSG00000288030 (interacts with) ENSG00000286480","false","interacts with","ENSG00000288030 (interacts with) ENSG00000286480"
"interacts with","ENSG00000287647 (interacts with) ENSG00000267121","false","interacts with","ENSG00000287647 (interacts with) ENSG00000267121"
"interacts with","ENSG00000287625 (interacts with) ENSG00000222046","false","interacts with","ENSG00000287625 (interacts with) ENSG00000222046"
"interacts with","ENSG00000287625 (interacts with) ENSG00000188573","false","interacts with","ENSG00000287625 (interacts with) ENSG00000188573"
"interacts with","ENSG00000287625 (interacts with) ENSG00000169783","false","interacts with","ENSG00000287625 (interacts with) ENSG00000169783"
"interacts with","ENSG00000287625 (interacts with) ENSG00000131759","false","interacts with","ENSG00000287625 (interacts with) ENSG00000131759"
"interacts with","ENSG00000287625 (interacts with) ENSG00000131591","false","interacts with","ENSG00000287625 (interacts with) ENSG00000131591"
"interacts with","ENSG00000287625 (interacts with) ENSG00000130311","false","interacts with","ENSG00000287625 (interacts with) ENSG00000130311"
"interacts with","ENSG00000287625 (interacts with) ENSG00000111305","false","interacts with","ENSG00000287625 (interacts with) ENSG00000111305"
"interacts with","ENSG00000287625 (interacts with) ENSG00000110076","false","interacts with","ENSG00000287625 (interacts with) ENSG00000110076"
"interacts with","ENSG00000287625 (interacts with) ENSG00000101460","false","interacts with","ENSG00000287625 (interacts with) ENSG00000101460"
"interacts with","ENSG00000287625 (interacts with) ENSG00000088247","false","interacts with","ENSG00000287625 (interacts with) ENSG00000088247"
"interacts with","ENSG00000287625 (interacts with) ENSG00000074317","false","interacts with","ENSG00000287625 (interacts with) ENSG00000074317"
"interacts with","ENSG00000287480 (interacts with) ENSG00000200788","false","interacts with","ENSG00000287480 (interacts with) ENSG00000200788"
"interacts with","ENSG00000287475 (interacts with) ENSG00000167779","false","interacts with","ENSG00000287475 (interacts with) ENSG00000167779"
"interacts with","ENSG00000287358 (interacts with) ENSG00000203950","false","interacts with","ENSG00000287358 (interacts with) ENSG00000203950"
"interacts with","ENSG00000287142 (interacts with) ENSG00000268903","false","interacts with","ENSG00000287142 (interacts with) ENSG00000268903"
"interacts with","ENSG00000287077 (interacts with) ENSG00000282936","false","interacts with","ENSG00000287077 (interacts with) ENSG00000282936"
"interacts with","ENSG00000287077 (interacts with) ENSG00000184792","false","interacts with","ENSG00000287077 (interacts with) ENSG00000184792"
"interacts with","ENSG00000287066 (interacts with) ENSG00000127954","false","interacts with","ENSG00000287066 (interacts with) ENSG00000127954"
"interacts with","ENSG00000287025 (interacts with) ENSG00000127954","false","interacts with","ENSG00000287025 (interacts with) ENSG00000127954"
"interacts with","ENSG00000286912 (interacts with) ENSG00000266627","false","interacts with","ENSG00000286912 (interacts with) ENSG00000266627"
"interacts with","ENSG00000286804 (interacts with) ENSG00000269903","false","interacts with","ENSG00000286804 (interacts with) ENSG00000269903"
"interacts with","ENSG00000286804 (interacts with) ENSG00000188573","false","interacts with","ENSG00000286804 (interacts with) ENSG00000188573"
"interacts with","ENSG00000286804 (interacts with) ENSG00000074317","false","interacts with","ENSG00000286804 (interacts with) ENSG00000074317"
"interacts with","ENSG00000286610 (interacts with) ENSG00000206120","false","interacts with","ENSG00000286610 (interacts with) ENSG00000206120"
